"StudyID","Species","Taxon.group","Endo.Ecto","Trait.Name","Fitness.Measure.Defined","linear.coefs","linear.coefs.se","grad.diff","elevation","abs.Lat","Genus","family","order","class"
75,"Salmo salar","V","Ecto","condition factor (immature + mature fish)","Age-2 winter survival",-0.02,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","condition factor (immature + mature fish)","Age-1 summer survival",-0.02,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","condition factor (immature + mature fish)","Age-1 summer survival",-0.02,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.019,0.033,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.019,0.047,"grad",-2,53.2833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.018,0.041,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.017,0.035,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.017,0.07,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.016,0.041,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.016,0.109,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.016,0.034,"grad",-2,53.2833,"Parus","Paridae","Passeriformes","Ave"
61,"Negaprion brevirostris","V","Ecto","condition factor","survival",-0.0156816,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.015,0.046,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
67,"Ovis aries","V","Endo","hindlimb length - adult females","survival",-0.015,0.025,"grad",121,57.814,"Ovis","Bovidae","Artiodactyla","Mammalia"
11,"Calopteryx splendens","I","Ecto","Total length","Minimum lifespan in field (a measure of survival), Klingav_ls_n population",-0.014668,NA,"grad",33,55.6333,"Calopteryx","Calopterygidae","Odonata","Insecta"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.013,0.03,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
144,"Carpodacus mexicanus","V","Endo","Beak width","juvenile survival",-0.013,NA,"grad",971,46.8607,"Carpodacus","Fringillidae","Passeriformes","Ave"
61,"Negaprion brevirostris","V","Ecto","condition factor","survival",-0.013,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
61,"Negaprion brevirostris","V","Ecto","condition factor","survival",-0.0126418,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
37,"Stegastes partitus","V","Ecto","Relative growth rate (Dk)","Longevity",-0.012,0.072,"grad",-24,23.7429,"Stegastes","Pomacentridae","Blenniformes","Actinopterygii"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.011,0.059,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
51,"Poecilia reticulata","V","Ecto","Body Size","survival",-0.01,NA,"grad",88,10.4606,"Poecilia","Poecilidae","Cyprinodontiformes","Actinopterygii"
51,"Poecilia reticulata","V","Ecto","Body Size","survival",-0.01,NA,"grad",88,10.4606,"Poecilia","Poecilidae","Cyprinodontiformes","Actinopterygii"
75,"Salmo salar","V","Ecto","body length (immature fish)","Age-1 winter survival",-0.01,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","body length (immature + mature fish)","Age-1 winter survival",-0.01,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","body length (immature fish)","Age-1 summer survival",-0.01,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.01,0.057,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
79,"Phasianus colchicus","V","Endo","bill length","female survival",-0.01,NA,"grad",17,55.7232,"Phasianus","Phasianidae","Galliformes","Ave"
75,"Salmo salar","V","Ecto","condition factor (immature fish)","Age-1 winter survival",-0.01,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","condition factor (immature + mature fish)","Age-1 winter survival",-0.01,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","condition factor (immature fish)","Age-2 winter survival",-0.01,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
112,"Zosterops lateralis chlorocephalus","V","Endo","culd","survival",-0.01,0.08,"grad",-17,23.4333,"Zosterops","Zosteropidae","Passeriformes","Ave"
11,"Calopteryx splendens","I","Ecto","Hindwing length","Minimum lifespan in field (a measure of survival), H_je «_Å population",-0.009402,NA,"grad",10,55.7,"Calopteryx","Calopterygidae","Odonata","Insecta"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.009,0.06,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
61,"Negaprion brevirostris","V","Ecto","condition factor","survival",-0.0082,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.008,0.03,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
